schedule,od
1056.0,LAX_DTLA
1058.4,LAX_DTLA
1060.8,LAX_DTLA
1063.2,LAX_DTLA
1065.6,LAX_DTLA
1068.0,LAX_DTLA
1070.4,LAX_DTLA
1072.8,LAX_DTLA
1075.2,LAX_DTLA
1077.6,LAX_DTLA
1080.0,LAX_DTLA
1083.33,LAX_DTLA
1086.67,LAX_DTLA
1090.0,LAX_DTLA
1093.33,LAX_DTLA
1096.67,LAX_DTLA
1100.0,LAX_DTLA
1103.33,LAX_DTLA
1106.67,LAX_DTLA
1110.0,LAX_DTLA
1113.33,LAX_DTLA
1116.67,LAX_DTLA
1120.0,LAX_DTLA
1123.33,LAX_DTLA
1126.67,LAX_DTLA
1130.0,LAX_DTLA
1133.33,LAX_DTLA
1136.67,LAX_DTLA
1140.0,LAX_DTLA
1143.16,LAX_DTLA
1146.32,LAX_DTLA
1149.47,LAX_DTLA
1152.63,LAX_DTLA
1155.79,LAX_DTLA
1158.95,LAX_DTLA
1162.11,LAX_DTLA
1165.26,LAX_DTLA
1168.42,LAX_DTLA
1171.58,LAX_DTLA
1174.74,LAX_DTLA
1177.89,LAX_DTLA
1181.05,LAX_DTLA
1184.21,LAX_DTLA
1187.37,LAX_DTLA
1190.53,LAX_DTLA
1193.68,LAX_DTLA
1196.84,LAX_DTLA
1200.0,LAX_DTLA
1202.86,LAX_DTLA
1205.71,LAX_DTLA
1208.57,LAX_DTLA
1211.43,LAX_DTLA
1214.29,LAX_DTLA
1217.14,LAX_DTLA
1220.0,LAX_DTLA
1222.86,LAX_DTLA
1225.71,LAX_DTLA
1228.57,LAX_DTLA
1231.43,LAX_DTLA
1234.29,LAX_DTLA
1237.14,LAX_DTLA
1240.0,LAX_DTLA
1242.86,LAX_DTLA
1245.71,LAX_DTLA
1248.57,LAX_DTLA
1251.43,LAX_DTLA
1254.29,LAX_DTLA
1257.14,LAX_DTLA
1260.0,LAX_DTLA
1262.5,LAX_DTLA
1265.0,LAX_DTLA
1267.5,LAX_DTLA
1270.0,LAX_DTLA
1272.5,LAX_DTLA
1275.0,LAX_DTLA
1277.5,LAX_DTLA
1280.0,LAX_DTLA
1282.5,LAX_DTLA
1285.0,LAX_DTLA
1287.5,LAX_DTLA
1290.0,LAX_DTLA
1292.5,LAX_DTLA
1295.0,LAX_DTLA
1297.5,LAX_DTLA
1300.0,LAX_DTLA
1302.5,LAX_DTLA
1305.0,LAX_DTLA
1307.5,LAX_DTLA
1310.0,LAX_DTLA
1312.5,LAX_DTLA
1315.0,LAX_DTLA
