schedule,od
1178,LAX_DTLA
1181,LAX_DTLA
1184,LAX_DTLA
1187,LAX_DTLA
1191,LAX_DTLA
1194,LAX_DTLA
1197,LAX_DTLA
1200,LAX_DTLA
1203,LAX_DTLA
1206,LAX_DTLA
1209,LAX_DTLA
1211,LAX_DTLA
1214,LAX_DTLA
1217,LAX_DTLA
1220,LAX_DTLA
1223,LAX_DTLA
1226,LAX_DTLA
1229,LAX_DTLA
1231,LAX_DTLA
1234,LAX_DTLA
1237,LAX_DTLA
1240,LAX_DTLA
1243,LAX_DTLA
1246,LAX_DTLA
1249,LAX_DTLA
1251,LAX_DTLA
1254,LAX_DTLA
1257,LAX_DTLA
1260,LAX_DTLA
1263,LAX_DTLA
1265,LAX_DTLA
1268,LAX_DTLA
1270,LAX_DTLA
1273,LAX_DTLA
1275,LAX_DTLA
1278,LAX_DTLA
1280,LAX_DTLA
1283,LAX_DTLA
1285,LAX_DTLA
1288,LAX_DTLA
1290,LAX_DTLA
1293,LAX_DTLA
1295,LAX_DTLA
1298,LAX_DTLA
1300,LAX_DTLA
1303,LAX_DTLA
1305,LAX_DTLA
1308,LAX_DTLA
1310,LAX_DTLA
1313,LAX_DTLA
1315,LAX_DTLA
1318,LAX_DTLA
1320,LAX_DTLA
1322,LAX_DTLA
1324,LAX_DTLA
1327,LAX_DTLA
1329,LAX_DTLA
1331,LAX_DTLA
1333,LAX_DTLA
1336,LAX_DTLA
1338,LAX_DTLA
1340,LAX_DTLA
1342,LAX_DTLA
1344,LAX_DTLA
1347,LAX_DTLA
1349,LAX_DTLA
1351,LAX_DTLA
1353,LAX_DTLA
1356,LAX_DTLA
1358,LAX_DTLA
1360,LAX_DTLA
1362,LAX_DTLA
1364,LAX_DTLA
1367,LAX_DTLA
1369,LAX_DTLA
1371,LAX_DTLA
1373,LAX_DTLA
1376,LAX_DTLA
1378,LAX_DTLA
1380,LAX_DTLA
1383,LAX_DTLA
1387,LAX_DTLA
1390,LAX_DTLA
1393,LAX_DTLA
1397,LAX_DTLA
1400,LAX_DTLA
1403,LAX_DTLA
1407,LAX_DTLA
1410,LAX_DTLA
1413,LAX_DTLA
1417,LAX_DTLA
1420,LAX_DTLA
1423,LAX_DTLA
1427,LAX_DTLA
1430,LAX_DTLA
1433,LAX_DTLA
1437,LAX_DTLA
0,DTLA_LAX
12,DTLA_LAX
24,DTLA_LAX
36,DTLA_LAX
48,DTLA_LAX
60,DTLA_LAX
120,DTLA_LAX
150,DTLA_LAX
180,DTLA_LAX
185,DTLA_LAX
191,DTLA_LAX
196,DTLA_LAX
202,DTLA_LAX
207,DTLA_LAX
213,DTLA_LAX
218,DTLA_LAX
224,DTLA_LAX
229,DTLA_LAX
235,DTLA_LAX
240,DTLA_LAX
244,DTLA_LAX
247,DTLA_LAX
251,DTLA_LAX
254,DTLA_LAX
258,DTLA_LAX
261,DTLA_LAX
265,DTLA_LAX
268,DTLA_LAX
272,DTLA_LAX
275,DTLA_LAX
279,DTLA_LAX
282,DTLA_LAX
286,DTLA_LAX
289,DTLA_LAX
293,DTLA_LAX
296,DTLA_LAX
300,DTLA_LAX
303,DTLA_LAX
306,DTLA_LAX
309,DTLA_LAX
313,DTLA_LAX
316,DTLA_LAX
319,DTLA_LAX
322,DTLA_LAX
325,DTLA_LAX
328,DTLA_LAX
332,DTLA_LAX
335,DTLA_LAX
338,DTLA_LAX
341,DTLA_LAX
344,DTLA_LAX
347,DTLA_LAX
351,DTLA_LAX
354,DTLA_LAX
357,DTLA_LAX
360,DTLA_LAX
363,DTLA_LAX
365,DTLA_LAX
368,DTLA_LAX
371,DTLA_LAX
374,DTLA_LAX
376,DTLA_LAX
379,DTLA_LAX
382,DTLA_LAX
385,DTLA_LAX
387,DTLA_LAX
390,DTLA_LAX
393,DTLA_LAX
395,DTLA_LAX
398,DTLA_LAX
401,DTLA_LAX
404,DTLA_LAX
406,DTLA_LAX
409,DTLA_LAX
412,DTLA_LAX
415,DTLA_LAX
417,DTLA_LAX
420,DTLA_LAX
423,DTLA_LAX
426,DTLA_LAX
429,DTLA_LAX
433,DTLA_LAX
436,DTLA_LAX
439,DTLA_LAX
442,DTLA_LAX
445,DTLA_LAX
448,DTLA_LAX
452,DTLA_LAX
455,DTLA_LAX
458,DTLA_LAX
461,DTLA_LAX
464,DTLA_LAX
467,DTLA_LAX
471,DTLA_LAX
474,DTLA_LAX
477,DTLA_LAX
480,DTLA_LAX
483,DTLA_LAX
486,DTLA_LAX
489,DTLA_LAX
492,DTLA_LAX
495,DTLA_LAX
498,DTLA_LAX
501,DTLA_LAX
504,DTLA_LAX
507,DTLA_LAX
510,DTLA_LAX
513,DTLA_LAX
516,DTLA_LAX
519,DTLA_LAX
522,DTLA_LAX
525,DTLA_LAX
528,DTLA_LAX
531,DTLA_LAX
534,DTLA_LAX
537,DTLA_LAX
540,DTLA_LAX
543,DTLA_LAX
545,DTLA_LAX
548,DTLA_LAX
551,DTLA_LAX
554,DTLA_LAX
556,DTLA_LAX
559,DTLA_LAX
562,DTLA_LAX
565,DTLA_LAX
567,DTLA_LAX
570,DTLA_LAX
573,DTLA_LAX
575,DTLA_LAX
578,DTLA_LAX
581,DTLA_LAX
584,DTLA_LAX
586,DTLA_LAX
589,DTLA_LAX
592,DTLA_LAX
595,DTLA_LAX
597,DTLA_LAX
600,DTLA_LAX
603,DTLA_LAX
606,DTLA_LAX
609,DTLA_LAX
611,DTLA_LAX
614,DTLA_LAX
617,DTLA_LAX
620,DTLA_LAX
623,DTLA_LAX
626,DTLA_LAX
629,DTLA_LAX
631,DTLA_LAX
634,DTLA_LAX
637,DTLA_LAX
640,DTLA_LAX
643,DTLA_LAX
646,DTLA_LAX
649,DTLA_LAX
651,DTLA_LAX
654,DTLA_LAX
657,DTLA_LAX
660,DTLA_LAX
662,DTLA_LAX
664,DTLA_LAX
666,DTLA_LAX
669,DTLA_LAX
671,DTLA_LAX
673,DTLA_LAX
675,DTLA_LAX
677,DTLA_LAX
679,DTLA_LAX
681,DTLA_LAX
684,DTLA_LAX
686,DTLA_LAX
688,DTLA_LAX
690,DTLA_LAX
692,DTLA_LAX
694,DTLA_LAX
696,DTLA_LAX
699,DTLA_LAX
701,DTLA_LAX
703,DTLA_LAX
705,DTLA_LAX
707,DTLA_LAX
709,DTLA_LAX
711,DTLA_LAX
714,DTLA_LAX
716,DTLA_LAX
718,DTLA_LAX
720,DTLA_LAX
723,DTLA_LAX
726,DTLA_LAX
729,DTLA_LAX
732,DTLA_LAX
735,DTLA_LAX
738,DTLA_LAX
741,DTLA_LAX
744,DTLA_LAX
747,DTLA_LAX
750,DTLA_LAX
753,DTLA_LAX
756,DTLA_LAX
759,DTLA_LAX
762,DTLA_LAX
765,DTLA_LAX
768,DTLA_LAX
771,DTLA_LAX
774,DTLA_LAX
777,DTLA_LAX
780,DTLA_LAX
782,DTLA_LAX
785,DTLA_LAX
787,DTLA_LAX
790,DTLA_LAX
792,DTLA_LAX
794,DTLA_LAX
797,DTLA_LAX
799,DTLA_LAX
802,DTLA_LAX
804,DTLA_LAX
806,DTLA_LAX
809,DTLA_LAX
811,DTLA_LAX
814,DTLA_LAX
816,DTLA_LAX
818,DTLA_LAX
821,DTLA_LAX
823,DTLA_LAX
826,DTLA_LAX
828,DTLA_LAX
830,DTLA_LAX
833,DTLA_LAX
835,DTLA_LAX
838,DTLA_LAX
840,DTLA_LAX
843,DTLA_LAX
847,DTLA_LAX
850,DTLA_LAX
853,DTLA_LAX
857,DTLA_LAX
860,DTLA_LAX
863,DTLA_LAX
867,DTLA_LAX
870,DTLA_LAX
873,DTLA_LAX
877,DTLA_LAX
880,DTLA_LAX
883,DTLA_LAX
887,DTLA_LAX
890,DTLA_LAX
893,DTLA_LAX
897,DTLA_LAX
900,DTLA_LAX
903,DTLA_LAX
906,DTLA_LAX
909,DTLA_LAX
912,DTLA_LAX
915,DTLA_LAX
918,DTLA_LAX
921,DTLA_LAX
924,DTLA_LAX
927,DTLA_LAX
930,DTLA_LAX
933,DTLA_LAX
936,DTLA_LAX
939,DTLA_LAX
942,DTLA_LAX
945,DTLA_LAX
948,DTLA_LAX
951,DTLA_LAX
954,DTLA_LAX
957,DTLA_LAX
960,DTLA_LAX
964,DTLA_LAX
968,DTLA_LAX
971,DTLA_LAX
975,DTLA_LAX
979,DTLA_LAX
983,DTLA_LAX
986,DTLA_LAX
990,DTLA_LAX
994,DTLA_LAX
998,DTLA_LAX
1001,DTLA_LAX
1005,DTLA_LAX
1009,DTLA_LAX
1013,DTLA_LAX
1016,DTLA_LAX
1020,DTLA_LAX
1024,DTLA_LAX
1028,DTLA_LAX
1032,DTLA_LAX
1036,DTLA_LAX
1040,DTLA_LAX
1044,DTLA_LAX
1048,DTLA_LAX
1052,DTLA_LAX
1056,DTLA_LAX
1060,DTLA_LAX
1064,DTLA_LAX
1068,DTLA_LAX
1072,DTLA_LAX
1076,DTLA_LAX
1080,DTLA_LAX
1085,DTLA_LAX
1091,DTLA_LAX
1096,DTLA_LAX
1102,DTLA_LAX
1107,DTLA_LAX
1113,DTLA_LAX
1118,DTLA_LAX
1124,DTLA_LAX
1129,DTLA_LAX
1135,DTLA_LAX
1140,DTLA_LAX
1145,DTLA_LAX
1149,DTLA_LAX
1154,DTLA_LAX
1158,DTLA_LAX
1163,DTLA_LAX
1168,DTLA_LAX
1172,DTLA_LAX
1177,DTLA_LAX
1182,DTLA_LAX
1186,DTLA_LAX
1191,DTLA_LAX
1195,DTLA_LAX
1200,DTLA_LAX
1203,DTLA_LAX
1205,DTLA_LAX
1208,DTLA_LAX
1211,DTLA_LAX
1214,DTLA_LAX
1216,DTLA_LAX
1219,DTLA_LAX
1222,DTLA_LAX
1225,DTLA_LAX
1227,DTLA_LAX
1230,DTLA_LAX
1233,DTLA_LAX
1235,DTLA_LAX
1238,DTLA_LAX
1241,DTLA_LAX
1244,DTLA_LAX
1246,DTLA_LAX
1249,DTLA_LAX
1252,DTLA_LAX
1255,DTLA_LAX
1257,DTLA_LAX
1260,DTLA_LAX
1263,DTLA_LAX
1267,DTLA_LAX
1270,DTLA_LAX
1273,DTLA_LAX
1277,DTLA_LAX
1280,DTLA_LAX
1283,DTLA_LAX
1287,DTLA_LAX
1290,DTLA_LAX
1293,DTLA_LAX
1297,DTLA_LAX
1300,DTLA_LAX
1303,DTLA_LAX
1307,DTLA_LAX
1310,DTLA_LAX
1313,DTLA_LAX
1317,DTLA_LAX
1320,DTLA_LAX
1325,DTLA_LAX
1329,DTLA_LAX
1334,DTLA_LAX
1338,DTLA_LAX
1343,DTLA_LAX
1348,DTLA_LAX
1352,DTLA_LAX
1357,DTLA_LAX
1362,DTLA_LAX
1366,DTLA_LAX
1371,DTLA_LAX
1375,DTLA_LAX
1380,DTLA_LAX
1386,DTLA_LAX
1392,DTLA_LAX
1398,DTLA_LAX
1404,DTLA_LAX
1410,DTLA_LAX
1416,DTLA_LAX
1422,DTLA_LAX
1428,DTLA_LAX
1434,DTLA_LAX
