origin_vertiport_id,destination_vertiport_id,aircraft_pushback_time,soc,tail_number,aircraft_pushback_datetime
LAX,DTLA,21300,40.0,,05:55:00
LAX,DTLA,21300,40.0,,05:55:00
DTLA,LAX,21300,75.0,,05:55:00
LAX,DTLA,21600,90.0,,06:00:00
LAX,DTLA,21600,70.0,,06:00:00
LAX,DTLA,21600,70.0,,06:00:00
DTLA,LAX,21600,90.0,,06:00:00
DTLA,LAX,21600,90.0,,06:00:00
LAX,DTLA,21600,80.0,,06:00:00
DTLA,LAX,21900,30.0,,06:05:00
DTLA,LAX,21900,65.0,,06:05:00
LAX,DTLA,22200,72.5,,06:10:00
LAX,DTLA,22200,82.5,,06:10:00
LAX,DTLA,22200,82.5,,06:10:00
DTLA,LAX,22200,80.0,,06:10:00
DTLA,LAX,22200,70.0,,06:10:00
DTLA,LAX,22500,65.0,,06:15:00
LAX,DTLA,22500,57.5,,06:15:00
DTLA,LAX,22500,40.0,,06:15:00
DTLA,LAX,22800,72.5,,06:20:00
LAX,DTLA,22800,72.5,,06:20:00
DTLA,LAX,22800,72.5,,06:20:00
LAX,DTLA,23100,32.5,,06:25:00
LAX,DTLA,23100,32.5,,06:25:00
LAX,DTLA,23100,67.5,,06:25:00
DTLA,LAX,23100,72.5,,06:25:00
DTLA,LAX,23100,62.5,,06:25:00
DTLA,LAX,23400,62.5,,06:30:00
LAX,DTLA,23400,65.0,,06:30:00
LAX,DTLA,23400,65.0,,06:30:00
LAX,DTLA,23400,87.5,,06:30:00
DTLA,LAX,23700,57.5,,06:35:00
DTLA,LAX,23700,57.5,,06:35:00
LAX,DTLA,23700,55.0,,06:35:00
LAX,DTLA,23700,70.0,,06:35:00
DTLA,LAX,24000,55.0,,06:40:00
DTLA,LAX,24000,55.0,,06:40:00
LAX,DTLA,24000,55.0,,06:40:00
DTLA,LAX,24300,90.0,,06:45:00
DTLA,LAX,24300,45.0,,06:45:00
DTLA,LAX,24600,40.0,,06:50:00
DTLA,LAX,24600,45.0,,06:50:00
LAX,DTLA,24600,47.5,,06:50:00
DTLA,LAX,24600,55.0,,06:50:00
LAX,DTLA,24600,47.5,,06:50:00
LAX,DTLA,24900,82.5,,06:55:00
LAX,DTLA,24900,82.5,,06:55:00
LAX,DTLA,24900,37.5,,06:55:00
LAX,DTLA,25200,47.5,,07:00:00
LAX,DTLA,25200,37.5,,07:00:00
DTLA,LAX,25200,37.5,,07:00:00
DTLA,LAX,25200,37.5,,07:00:00
LAX,DTLA,25200,100.0,,07:00:00
DTLA,LAX,25500,72.5,,07:05:00
DTLA,LAX,25500,72.5,,07:05:00
DTLA,LAX,25800,92.5,,07:10:00
LAX,DTLA,25800,55.0,,07:10:00
LAX,DTLA,26100,37.5,,07:15:00
DTLA,LAX,26100,37.5,,07:15:00
LAX,DTLA,26100,37.5,,07:15:00
LAX,DTLA,26400,87.5,,07:20:00
DTLA,LAX,26400,45.0,,07:20:00
LAX,DTLA,26400,85.0,,07:20:00
LAX,DTLA,26400,67.5,,07:20:00
DTLA,LAX,26400,37.5,,07:20:00
DTLA,LAX,26700,27.5,,07:25:00
DTLA,LAX,26700,27.5,,07:25:00
LAX,DTLA,26700,30.0,,07:25:00
LAX,DTLA,27000,77.5,,07:30:00
LAX,DTLA,27000,37.5,,07:30:00
DTLA,LAX,27000,87.5,,07:30:00
DTLA,LAX,27000,60.0,,07:30:00
LAX,DTLA,27300,90.0,,07:35:00
DTLA,LAX,27300,77.5,,07:35:00
