date,hour,flight_distance,flight_time_A_B_rounded,energy_consumption_%_A_B,flight_time_B_A_rounded,energy_consumption_%_B_A
2018-12-16,23,80,35,40.0,25,32.5
2019-03-27,0,80,35,40.0,25,32.5
2019-03-27,1,80,35,40.0,25,32.5
2019-03-27,2,80,35,40.0,25,32.5
2019-03-27,3,80,35,40.0,25,32.5
2019-03-27,4,80,35,42.5,25,32.5
2019-03-27,5,80,35,42.5,25,32.5
2019-03-27,6,80,35,42.5,25,32.5
2019-03-27,7,80,35,42.5,25,32.5
2019-03-27,8,80,40,42.5,25,30.0
2019-03-27,9,80,40,42.5,25,30.0
2019-03-27,10,80,40,42.5,25,30.0
2019-03-27,11,80,40,45.0,25,30.0
2019-03-27,12,80,40,42.5,25,30.0
2019-03-27,13,80,40,42.5,25,30.0
2019-03-27,14,80,40,45.0,25,30.0
2019-03-27,15,80,40,45.0,25,30.0
2019-03-27,16,80,40,45.0,25,30.0
2019-03-27,17,80,35,42.5,25,32.5
2019-03-27,18,80,35,42.5,25,32.5
2019-03-27,19,80,35,42.5,25,32.5
2019-03-27,20,80,35,40.0,25,32.5
2019-03-27,21,80,35,40.0,25,32.5
2019-03-27,22,80,35,40.0,25,32.5
2019-03-27,23,80,35,40.0,25,32.5
2019-05-29,0,80,30,32.5,35,37.5
2019-05-29,1,80,30,32.5,35,37.5
2019-05-29,2,80,30,32.5,35,37.5
2019-05-29,3,80,30,32.5,35,37.5
2019-05-29,4,80,30,32.5,35,37.5
2019-05-29,5,80,30,32.5,35,37.5
2019-05-29,6,80,30,32.5,35,37.5
2019-05-29,7,80,30,32.5,35,37.5
2019-05-29,8,80,30,32.5,35,37.5
2019-05-29,9,80,30,32.5,35,37.5
2019-05-29,10,80,30,32.5,35,37.5
2019-05-29,11,80,30,32.5,35,37.5
2019-05-29,12,80,30,32.5,35,37.5
2019-05-29,13,80,30,32.5,35,37.5
2019-05-29,14,80,30,32.5,35,37.5
2019-05-29,15,80,30,32.5,35,37.5
2019-05-29,16,80,30,32.5,35,37.5
2019-05-29,17,80,30,32.5,35,37.5
2019-05-29,18,80,30,32.5,30,37.5
2019-05-29,19,80,30,32.5,30,37.5
2019-05-29,20,80,30,32.5,30,37.5
2019-05-29,21,80,30,32.5,30,37.5
2019-05-29,22,80,30,32.5,30,37.5
2019-05-29,23,80,30,32.5,30,37.5
2020-01-29,0,80,25,30.0,40,45.0
2020-01-29,1,80,25,30.0,40,45.0
2020-01-29,2,80,25,30.0,40,47.5
2020-01-29,3,80,25,30.0,40,47.5
2020-01-29,4,80,25,30.0,40,47.5
2020-01-29,5,80,25,30.0,40,47.5
2020-01-29,6,80,25,30.0,40,45.0
2020-01-29,7,80,25,30.0,40,45.0
2020-01-29,8,80,25,30.0,40,45.0
2020-01-29,9,80,25,30.0,40,45.0
2020-01-29,10,80,25,30.0,40,45.0
2020-01-29,11,80,25,30.0,40,45.0
2020-01-29,12,80,25,30.0,40,47.5
2020-01-29,13,80,25,30.0,40,47.5
2020-01-29,14,80,25,30.0,40,47.5
2020-01-29,15,80,25,30.0,40,45.0
2020-01-29,16,80,25,30.0,40,45.0
2020-01-29,17,80,25,30.0,40,45.0
2020-01-29,18,80,25,30.0,40,45.0
2020-01-29,19,80,25,30.0,40,45.0
2020-01-29,20,80,25,30.0,40,45.0
2020-01-29,21,80,25,30.0,40,45.0
2020-01-29,22,80,25,30.0,40,45.0
2020-01-29,23,80,25,30.0,40,45.0
