date,hour,flight_distance,flight_time_A_B_rounded,energy_consumption_%_A_B,flight_time_B_A_rounded,energy_consumption_%_B_A
2015-06-01,0,90,40,47.5,30,35.0
2015-06-01,1,90,40,45.0,30,35.0
2015-06-01,2,90,40,45.0,30,35.0
2015-06-01,3,90,40,45.0,30,35.0
2015-06-01,4,90,40,45.0,30,35.0
2015-06-01,5,90,40,45.0,30,35.0
2015-06-01,6,90,40,45.0,30,35.0
2015-06-01,7,90,40,42.5,30,35.0
2015-06-01,8,90,40,42.5,30,35.0
2015-06-01,9,90,40,42.5,30,35.0
2015-06-01,10,90,40,42.5,30,35.0
2015-06-01,11,90,40,42.5,30,35.0
2015-06-01,12,90,35,42.5,30,37.5
2015-06-01,13,90,35,40.0,30,37.5
2015-06-01,14,90,35,42.5,30,37.5
2015-06-01,15,90,35,40.0,30,37.5
2015-06-01,16,90,35,40.0,35,37.5
2015-06-01,17,90,35,40.0,35,37.5
2015-06-01,18,90,35,40.0,35,40.0
2015-06-01,19,90,35,40.0,35,37.5
2015-06-01,20,90,35,40.0,35,40.0
2015-06-01,21,90,35,40.0,35,40.0
2015-06-01,22,90,35,40.0,35,40.0
2015-06-01,23,90,35,40.0,35,40.0
2015-07-23,0,90,35,40.0,30,37.5
2015-07-23,1,90,35,40.0,30,37.5
2015-07-23,2,90,35,40.0,30,37.5
2015-07-23,3,90,35,40.0,30,37.5
2015-07-23,4,90,35,40.0,30,37.5
2015-07-23,5,90,35,40.0,30,37.5
2015-07-23,6,90,35,40.0,30,37.5
2015-07-23,7,90,35,40.0,30,37.5
2015-07-23,8,90,35,40.0,30,37.5
2015-07-23,9,90,35,40.0,30,37.5
2015-07-23,10,90,35,40.0,30,37.5
2015-07-23,11,90,35,40.0,30,37.5
2015-07-23,12,90,35,40.0,30,37.5
2015-07-23,13,90,35,40.0,30,37.5
2015-07-23,14,90,35,40.0,30,37.5
2015-07-23,15,90,35,40.0,30,37.5
2015-07-23,16,90,35,40.0,30,37.5
2015-07-23,17,90,35,40.0,30,37.5
2015-07-23,18,90,35,40.0,30,37.5
2015-07-23,19,90,35,40.0,30,37.5
2015-07-23,20,90,35,40.0,30,37.5
2015-07-23,21,90,35,40.0,30,37.5
2015-07-23,22,90,35,40.0,30,37.5
2015-07-23,23,90,35,40.0,30,37.5
2016-06-10,0,90,40,42.5,30,35.0
2016-06-10,1,90,40,42.5,30,35.0
2016-06-10,2,90,40,42.5,30,35.0
2016-06-10,3,90,40,42.5,30,35.0
2016-06-10,4,90,40,45.0,30,35.0
2016-06-10,5,90,40,45.0,30,35.0
2016-06-10,6,90,40,45.0,30,35.0
2016-06-10,7,90,40,45.0,30,35.0
2016-06-10,8,90,40,45.0,30,35.0
2016-06-10,9,90,40,45.0,30,35.0
2016-06-10,10,90,40,45.0,30,35.0
2016-06-10,11,90,40,45.0,30,35.0
2016-06-10,12,90,40,45.0,30,35.0
2016-06-10,13,90,40,45.0,30,35.0
2016-06-10,14,90,40,45.0,30,35.0
2016-06-10,15,90,40,45.0,30,35.0
2016-06-10,16,90,40,45.0,30,35.0
2016-06-10,17,90,40,45.0,30,35.0
2016-06-10,18,90,40,45.0,30,35.0
2016-06-10,19,90,40,45.0,30,35.0
2016-06-10,20,90,40,45.0,30,35.0
2016-06-10,21,90,40,45.0,30,35.0
2016-06-10,22,90,40,45.0,30,35.0
2016-06-10,23,90,40,45.0,30,35.0
2016-06-25,0,90,30,35.0,35,42.5
2016-06-25,1,90,30,35.0,35,42.5
2016-06-25,2,90,30,35.0,35,42.5
2016-06-25,3,90,30,35.0,35,42.5
2016-06-25,4,90,30,35.0,35,42.5
2016-06-25,5,90,30,35.0,35,42.5
2016-06-25,6,90,30,35.0,35,42.5
2016-06-25,7,90,30,37.5,35,40.0
2016-06-25,8,90,30,37.5,35,40.0
2016-06-25,9,90,30,37.5,35,40.0
2016-06-25,10,90,30,37.5,35,40.0
2016-06-25,11,90,30,37.5,35,40.0
2016-06-25,12,90,30,37.5,35,40.0
2016-06-25,13,90,35,37.5,35,40.0
2016-06-25,14,90,35,37.5,35,40.0
2016-06-25,15,90,35,37.5,35,37.5
2016-06-25,16,90,35,37.5,35,37.5
2016-06-25,17,90,35,37.5,35,37.5
2016-06-25,18,90,35,37.5,35,37.5
2016-06-25,19,90,35,37.5,35,37.5
2016-06-25,20,90,35,37.5,35,37.5
2016-06-25,21,90,35,37.5,35,37.5
2016-06-25,22,90,35,40.0,35,37.5
2016-06-25,23,90,35,40.0,35,37.5
2018-10-12,0,90,35,37.5,35,37.5
2018-10-12,1,90,35,37.5,35,37.5
2018-10-12,2,90,35,37.5,35,37.5
2018-10-12,3,90,35,37.5,35,37.5
2018-10-12,4,90,35,37.5,35,37.5
2018-10-12,5,90,35,37.5,35,37.5
2018-10-12,6,90,35,37.5,35,37.5
2018-10-12,7,90,35,37.5,35,37.5
2018-10-12,8,90,35,40.0,35,37.5
2018-10-12,9,90,35,37.5,35,37.5
2018-10-12,10,90,35,40.0,35,37.5
2018-10-12,11,90,35,40.0,35,37.5
2018-10-12,12,90,35,37.5,35,37.5
2018-10-12,13,90,35,37.5,35,37.5
2018-10-12,14,90,35,37.5,35,37.5
2018-10-12,15,90,35,37.5,35,37.5
2018-10-12,16,90,35,37.5,35,37.5
2018-10-12,17,90,35,37.5,35,37.5
2018-10-12,18,90,35,37.5,35,37.5
2018-10-12,19,90,35,37.5,35,37.5
2018-10-12,20,90,35,37.5,35,37.5
2018-10-12,21,90,35,37.5,35,37.5
2018-10-12,22,90,35,37.5,35,37.5
2018-10-12,23,90,35,37.5,35,37.5
2018-11-05,0,90,30,35.0,40,45.0
2018-11-05,1,90,30,35.0,40,45.0
2018-11-05,2,90,30,35.0,40,45.0
2018-11-05,3,90,30,35.0,40,45.0
2018-11-05,4,90,30,35.0,40,45.0
2018-11-05,5,90,30,35.0,40,45.0
2018-11-05,6,90,30,35.0,40,45.0
2018-11-05,7,90,30,35.0,40,45.0
2018-11-05,8,90,30,35.0,40,45.0
2018-11-05,9,90,30,35.0,40,45.0
2018-11-05,10,90,30,35.0,40,45.0
2018-11-05,11,90,30,35.0,40,45.0
2018-11-05,12,90,30,35.0,40,45.0
2018-11-05,13,90,30,35.0,40,45.0
2018-11-05,14,90,30,35.0,40,45.0
2018-11-05,15,90,30,35.0,40,45.0
2018-11-05,16,90,30,35.0,40,45.0
2018-11-05,17,90,30,35.0,40,45.0
2018-11-05,18,90,30,35.0,40,45.0
2018-11-05,19,90,30,35.0,40,45.0
2018-11-05,20,90,30,35.0,40,45.0
2018-11-05,21,90,30,35.0,40,45.0
2018-11-05,22,90,30,35.0,40,45.0
2018-11-05,23,90,30,35.0,40,45.0
2019-09-27,0,90,30,37.5,35,40.0
2019-09-27,1,90,30,37.5,35,40.0
2019-09-27,2,90,30,37.5,35,40.0
2019-09-27,3,90,30,37.5,35,40.0
2019-09-27,4,90,30,37.5,35,40.0
2019-09-27,5,90,30,37.5,35,40.0
2019-09-27,6,90,30,37.5,35,40.0
2019-09-27,7,90,30,37.5,35,40.0
2019-09-27,8,90,30,37.5,35,40.0
2019-09-27,9,90,30,37.5,35,40.0
2019-09-27,10,90,30,37.5,35,40.0
2019-09-27,11,90,30,37.5,35,40.0
2019-09-27,12,90,30,37.5,35,40.0
2019-09-27,13,90,30,37.5,35,40.0
2019-09-27,14,90,30,37.5,35,40.0
2019-09-27,15,90,30,37.5,35,40.0
2019-09-27,16,90,30,35.0,35,42.5
2019-09-27,17,90,30,35.0,35,42.5
2019-09-27,18,90,30,35.0,35,42.5
2019-09-27,19,90,30,35.0,35,42.5
2019-09-27,20,90,30,35.0,35,42.5
2019-09-27,21,90,30,35.0,35,42.5
2019-09-27,22,90,30,35.0,35,42.5
2019-09-27,23,90,30,35.0,35,42.5
2020-01-29,0,90,30,35.0,40,47.5
2020-01-29,1,90,30,32.5,45,50.0
2020-01-29,2,90,30,32.5,45,50.0
2020-01-29,3,90,25,32.5,45,52.5
2020-01-29,4,90,25,32.5,45,52.5
2020-01-29,5,90,25,32.5,45,52.5
2020-01-29,6,90,30,32.5,45,50.0
2020-01-29,7,90,30,32.5,45,50.0
2020-01-29,8,90,30,32.5,45,50.0
2020-01-29,9,90,30,32.5,45,50.0
2020-01-29,10,90,30,32.5,45,50.0
2020-01-29,11,90,25,32.5,45,50.0
2020-01-29,12,90,25,32.5,45,52.5
2020-01-29,13,90,25,32.5,45,52.5
2020-01-29,14,90,25,32.5,45,52.5
2020-01-29,15,90,30,32.5,45,50.0
2020-01-29,16,90,30,32.5,45,50.0
2020-01-29,17,90,30,32.5,45,50.0
2020-01-29,18,90,30,32.5,45,50.0
2020-01-29,19,90,30,32.5,45,50.0
2020-01-29,20,90,30,32.5,45,50.0
2020-01-29,21,90,30,32.5,45,50.0
2020-01-29,22,90,30,32.5,45,50.0
2020-01-29,23,90,30,32.5,45,50.0
